No,credit_date,customer_disp_name,credit_money
,2013/7/8,株式会社三和,34230
,2013/7/8,有限会社豆藤,5250
,2013/7/10,株式会社セルヴァン,27720
,2013/7/10,株式会社レガルト,46410
,2013/7/10,東洋アルミエコープロダクツ株式会社,3780
,2013/7/10,株式会社旬,30870
,2013/7/10,吉田産業株式会社,50400
,2013/7/11,株式会社タケダレース,108465
,2013/7/16,株式会社ニューロンドン,53550
,2013/7/16,スイーツファクトリー,7350
,2013/7/16,株式会社大阪美乃利,6195
,2013/7/16,株式会社京都吉兆,34650
,2013/7/16,株式会社ＭIＣ,314370
,2013/7/16,三星商事株式会社,70980
,2013/7/16,株式会社ラボキ・ファクトリー,13440
,2013/7/16,アゴック株式会社,80010
,2013/7/16,スカラー株式会社,24600
,2013/7/16,株式会社アズ,253365
,2013/7/16,八重洲大地下街商店会,210000
,2013/7/16,サン食品工業株式会社,60951
,2013/7/16,アツギ株式会社,69720
,2013/7/16,株式会社アニバーサリー,52500
,2013/7/16,セーレン株式会社,39585
,2013/7/16,株式会社カドリールニシダ,534114
,2013/7/16,株式会社ワールド,7298
,2013/7/16,株式会社イノダコーヒ,64942
,2013/7/16,株式会社レナウン,17640
,2013/7/16,有限会社フランスパン,10185
,2013/7/16,株式会社大水直売,104685
,2013/7/16,株式会社ラピーヌ,62895
,2013/7/16,東レアムテックス株式会社,68250
,2013/7/22,株式会社笹屋伊織,15750
,2013/7/22,株式会社シモジマ,24780
